,Name,Country,State,Region,Constituent counties / (boroughs),Historic colonies,Settled,Consolidated,Named for, • Type, • Body, • Mayor, • Total, • Land, • Water, • Metro,Elevation[3], • Estimate (2018)[7], • Rank, • Density, • MSA (2018), • CSA (2018),Demonym(s),Time zone, • Summer (DST),ZIP Codes,Area code(s),FIPS code,GNIS feature ID,Major airports,Commuter rail,Rapid transit,"GDP (City, 2015)","GMP (Metro, 2017)",Largest borough by area,Largest borough by population,Largest borough by GDP (2015),Website,County,CSA,MSA,Pueblo,City status,Incorporated, • City Attorney, • City Controller,Elevation[8],Highest elevation[9],Lowest elevation[9], • Estimate (2017)[11], • Urban[12], • Metro[13], • CSA[14],Area codes,GNIS feature IDs,Counties,Incorporated (town),Incorporated (city),Founded by, • City Clerk, • City Treasurer, • City, • Urban,Elevation[2] (mean),Highest elevation– near Blue Island,Lowest elevation– at Lake Michigan, • Estimate (2018), • CSA,ZIP Code Prefixes,Major Airports,Commuter Rail,Elevation, • Demonym,Interstates,U.S. routes, • State Capital,Elevation[2], • Estimate (2017)[4],ZIP codes,GNIS ID(s),Major airport,Secondary Airports,U.S. Highways,State Routes,Historic countries,Historic colony,Founded, • Consolidated city-county, • Estimate (2017)[8],ZIP code,U.S. Routes,Foundation, • City Manager, • City Council,Zip Codes,Primary Airport,Established, • City Council[5], • State Assembly Members, • State Senators,Elevation[7],Highest elevation[8],Lowest elevation, • Estimate (2017)[10],ZIP Codes[11], • Estimate (2017)[2],Primary airport,Secondary airport,Metro,Pueblo founded,Founded as, • Assemblymembers[4],Elevation[6],Lowest elevation[7],Rapid Transit, • City manager, • State capital city, • Estimate (2017[2]),Consolidated[2],Elevation[1], • Estimate (2017)[6],Demonyms,Airport,Waterways,Passenger Rail, • Estimate (2018)[13],Mission, • Supervisors[6], • Assembly members[7][8], • State senator, • United States Representatives[9][10], • City and county,Elevation[12],Highest elevation[13],Lowest elevation[13],ZIP Codes[15],GDP,City-county consolidation, • State capital and Consolidated city-county, • Estimate (2017)[7], • Deputy mayors,Highest elevation, • Estimate (2018)[4],Area code,City and County, • State capital and consolidated city-county,Elevation[12][13], • Estimate (2018)[15],Residence Act,Organized,Home Rule Act, • D.C. Council, • U.S. House, • Federal capital city and federal district,Settled (town), • Council, • Estimate (2018)[3],Metropolitan area,First settlement,Settled as Franklin,Renamed El Paso,Town Laid out,Population (2010)[3],Secondary Airport,ZIP code(s), • Vice Mayor, • Consolidated, • Balance,Other main roadways,Public transit,Regional rail,Bioregion, • Commissioners, • Auditor,Highest elevation[4],Lowest elevation[5] (Columbia River),Interstate Spurs,Major State Routes, • Estimate (2018)[5], • Estimate (2017)[5],Interstate Highways,Other major highways, • Metro Council, • GMP,ZIP code prefixes,USDA hardiness zones,Airports,City,Independent city, • Houses of Delegates, • State Senate, • Independent city,Elevation[5], • Estimate (2017)[3], • State House, • Ethnicities[3],Railway station, • City council[4], • Metro[9],ZIP Codes[10],Chartered, • City Council[4], • Urban[8], • CSA[10],Light Rail,Terminus,Marthasville,City of Atlanta, • State capital and city, • Urban density, • Metro density,County[4], • Home rule municipality, • Estimate (2016)[8],ZIP codes[9],Highways, • Metropolitan city, • MSA, • City council[8], • City auditor, • City prosecutor,Elevation[10], • Estimate (2017)[12], • CSA[13],ZIP Codes[14],Incorporated (as town),Incorporated (as city), • Estimate (2018)[2], • Assemblymembers, • U. S. rep., • Estimate (2017)[14], • Council President,Public transportation, • Estimate (2016)[2],Incorporated (Village),Incorporated (Town),Incorporated (City), • Legislative,Public Transit,Parish, • Consolidated city-parish, • Estimate (2017), • City and county seat,GNIS ID, ,Re-incorporated, • Finance director, • City clerk, • Urban[11], • Metro[12],Platted, • Home Rule Municipality, • United States representatives[6], • State senators[7], • Assemblymembers[8],ZIP codes[13], • Estimate (2016)[7],ZIP codes[8], • City council[5], • Estimate (2017)[9], • City council, • Assemblymember,Elevation[16], • Estimate (2017)[18]," • President, Board of Aldermen", • Comptroller,Highest elevation[6],Historic empires,Municipal incorporation,ZIP Code,Expressways,Transit,Rail, • Estimate (2016)[3],Borough, • Alaska Senate, • Alaska House, • Consolidated city-borough, • Estimate (2018)[6],Geocode,Renamed, • U.S. Congress, • Estimate (2018)[6][α], • Urban[β], • CSA density,Unincorporated,Re-Incorporated, • City Council[2],Elevation[4], • Mayor Pro Tempore, • City council members[6], • Estimate (2018)[9],ZIP codes[10],Sphere of influence,Reincorporated, • Administrator, • Municipal clerk,Area rank,Elevation[9], • Density rank, • Estimate (2015)[3], • Deputy City Managers, • City Council Members,Townships,Founding, • Deputy Mayor, • Business Administrator,Elevation[18], • Estimate (2017)[22],Re-Incorporated as City,Settled as, • Police chief,Municipality,First settled (village), • Estimate (2017)[1], • Town, • Estimate (2016)[4], • Estimate (2016)[6],Incorporation, • Councilmembers, • United States representatives, • Estimate (2016)[12],Interstate(s),U.S. Route(s), • Mayor-President, • Consolidated city-parish[n 1][1], • Total[n 2],Population (2010)[4], • Estimate (July 2017)[5],Official tree, • Senate, • House, • Treasurer, • City attorney,GNIS IDs[7][11],FIPS code[7][11], • City Council[7], • Mayor Pro-Tem, • City council[3],ZIP Codes[8], • City treasurer,Incorporated as a village,Incorporated as a city, • City council[2], • City council[9],Elevation[11], • Estimate (2017)[13],ZIP codes[14], • Urban (2010), • Councilmember Place 1, • Councilmember Place 2, • Councilmember Place 3, • Councilmember Place 4, • Estimate (2018)[1],Major State Highways,Incorporated (village),"[[Federal Infor
mation Processing Standards|FIPS code]]",Demonym,Logo,Wikimedia Commons,Township,Established (Twickenham), • CSRA, • Change 2011–2014, • Estimate (2016)[5], • Estimate (2013)[2],Elevation(lowest)[4],Seaports,Parishes," • Estimate (April 1, 2019)[1]", • Estimate (2016)[10],Zip code,FIPS code[11],GNIS feature ID[12],Incorporated as a town,"FIPS code
0", • Estimate (2018)[5][α], • Estimate (2019)[4], • City council[6],City flower, • Estimate (2016[3]),Zip codes,District, • Chief Of Police, • Fire Chief,ZIP Codes[7],Unofficially incorporated (village),Commissioned, • Mayor pro tem,ZIP Codes[6],Incorporated (Independent city), • Virginia Senate, • Delegate, • U.S. Senate,Flower,County Routes,Founded:,Incorporated:, • Metro[7], • Estimate (2018)[10], • Metro[11], • Vice mayor, • Consolidated city–county,ZIP Code(s),U.S. state,Major highways, • Texas State Representative, • Texas State Senator, • U.S. Representative, • City Mayor, • Common Council, • City Council[1],ZIP codes[15], • Vice-Mayor, • City Council[3], • City and County seat,Counties[1],ZIP codes[6], • State Senator, • U.S. Rep., • MSA (2015), • Commission, • Estimate (2018)[8], • Chief of Police, • Acting Mayor and Vice Mayor,Approved,Chartered (town),Chartered (city), • Estimate (2016), • CSA (2015), • Estimate (2016)[1],Metropolitan Statistical Area, • State Assembly, • CA Assembly, • U. S. Rep., • City-Parish President, • City Total, • MSA (2017), • CSA (2017),County seat,Sister cities,Named, • State capital of Connecticut,Population (2010),Major Highways, • Estimate (2016)[9], • City Administrator, • Council members .mw-parser-output .nobold{font-weight:normal}by district number[3], • U.S. rep.,ZIP codes[11], • City Solicitor, • Estimate (2014)[1],Counties[2], • Estimate (2019),Regions,City Charter,Major State Roads, • Council Chair,Incorporated Town,Zip code(s),Incorporated(as Derryfield),Incorporated(as Manchester), • Aldermen, • Mayor Pro Tem,Settled (Pompano Settlement),Incorporated (Town of Pompano),Incorporated (City of Pompano Beach),County[3], • Median household income, • Median home value,A city,Settled (Lake Worth Country Settlement),Incorporated (Town of West Palm Beach),Incorporated (City of West Palm Beach),"Incorporated, Town","Incorporated, City", • CA Senate, • U.S. Congress[5], • Estimate (2016[4]), • Supervisor,GNIS IDs[8][12][13],FIPS code[8][13], • City Admin., • Governing body, • Estimate (2015)[2], • Metro[10],ZIP codes[7],ZIP Codes[9],Area codes[10][11], • Estimate (2015),Formally Incorporated (town), • Town Manager, • Town Clerk, • Councilmember, • Finance Director/ Treasurer, • Common Council[2], • Deputy City Manager, • Estimate (2013)[4], • Manager,FIPS code[3][19][20],GNIS ID[3][19][20], • City administrator, • Estimate (2014)[3], • White, • Asian, • Hispanic, • Black,Bird,Tree,GNIS  feature ID,FIPS code[1][7][25],GNIS ID[1][7][25],Highest elevation[7]
0,New York City, United States," New York
",Mid-Atlantic,"Bronx (The Bronx)Kings (Brooklyn)New York (Manhattan)Queens (Queens)Richmond (Staten Island)
",New NetherlandProvince of New York,1624,1898,"James, Duke of York",Mayor–Council,New York City Council,Bill de Blasio (D),"8,175,133",302.643 sq mi (783.84 km2),165.841 sq mi (429.53 km2),"13,318 sq mi (34,490 km2)",33 ft (10 m),"8,398,748","1st, U.S.","27,751/sq mi (10,715/km2)","19,979,477[4] (1st)","22,679,948  [5] (1st)",New Yorker,UTC−05:00 (EST),UTC−04:00 (EDT),"100xx–104xx, 11004–05, 111xx–114xx, 116xx","212/646/332, 718/347/929, 917",36-51000,975772,"John F. Kennedy International Airport, Newark Liberty International Airport, LaGuardia Airport","LIRR, Metro-North, NJ Transit","Subway, Staten Island Railway, PATH",US$807 billion[8],US$1.7 trillion[9],Queens – 109 square miles (280 km2),"Brooklyn (2,636,735 – 2015 est)[10]",Manhattan – US$630 billion[8],NYC.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Los Angeles, United States, California,,,,,,"Our Lady, Queen of the Angels",Mayor-Council-Commission[5],Los Angeles City Council,Eric Garcetti (D)[6],"3,792,621","468.74 sq mi (1,214.03 km2)",34.02 sq mi (88.12 km2)  6.7%,,,,"1st, California2nd, U.S.","8,483.02/sq mi (3,275.32/km2)",,,Angeleno,UTC−08:00 (Pacific),UTC−07:00 (PDT),"
List
90001–90084, 90086–90089, 90091, 90093–90097, 90099, 90101–90103, 90174, 90185, 90189, 90291–90293, 91040–91043, 91303–91308, 91311, 91316, 91324–91328, 91330,91331, 91335, 913340,  91342–91349, 91352–91353, 91356–91357, 91364–91367, 91401–91499, 91504–91505, 91601–91609[15] 
",,06-44000,,,,,,,,,,Official website ,Los Angeles,Los Angeles-Long Beach,Los Angeles-Long Beach-Anaheim,"September 4, 1781[2]","May 23, 1835[3]","April 4, 1850[4]",Mike Feuer (D)[6],Ron Galperin (D)[6],305 ft (93 m),"5,074 ft (1,547 m)",0 ft (0 m),"3,999,759","12,150,996","13,131,431 (U.S.: 2nd)","18,679,763 (U.S.: 2nd)","213/323, 310/424, 747/818","1662328, 2410877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chicago, United States, Illinois,,,,circa 1780,,Miami-Illinois: shikaakwa(wild onion or wild garlic),Mayor–council,Chicago City Council,Lori Lightfoot (D),,227.34 sq mi (588 km2),6.80 sq mi (17.62 km2)  3.0%,"9,533,040 (3rd)[4]",,,"3rd, U.S.","11,898/sq mi (4,593.95/km2)",,,Chicagoan,UTC−06:00 (Central),UTC−05:00 (Central),,,17-14000,0428803,,,,,,,,,www.cityofchicago.org,,,,,,,,,,,,,,,,312/872 and 773/872,,"Cook, DuPage","August 12, 1833","March 4, 1837",Jean Baptiste Point du Sable,Anna Valencia (D),Melissa Conyears-Ervin (D),"2,695,598","8,667,303[5]",594 ft (181 m),672 ft (205 m),578 ft (176 m),"2,705,994","9,901,711 (US: 3rd)[4]","606xx, 607xx, 608xx","Chicago O'Hare, Chicago Midway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Houston, United States, Texas,,,,,,Sam Houston,Mayor–council,Houston City Council,Sylvester Turner (D),,"599.59 sq mi (1,552.9 km2)",,"6,997,384 (5th U.S.)",,,US: 4th,"3,660/sq mi (1,414/km2)",,,,UTC−6 (CST),UTC−5 (CDT),"770xx, 772xx (P.O. Boxes)",,48-35000[4],1380948[5],"George Bush Intercontinental Airport (IAH), William P. Hobby Airport (HOU)",,  ,,,,,,houstontx.gov,,,,,,"June 5, 1837",,,,,,,,,,"713, 281, 832, 346",,"Harris, Fort Bend, Montgomery",,,,,,"2,099,451","4,944,332 (7th U.S.)",,,,"2,328,419",,,,,80 ft (32 m),Houstonian[1],   ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Phoenix, United States, Arizona,,,,1867,,,Council-Manager,Phoenix City Council,Kate Gallego,,"517.64 sq mi (1,340.69 km2)",1.25 sq mi (3.25 km2),"4,737,270 (US: 12th)",,,US: 5th,"3,119.94/sq mi (1,204.61/km2)",,,,UTC−7 (MST (no DST)),,,,04-55000,,,,,,,,,,www.phoenix.gov,Maricopa,,,,,"February 25, 1881",,,,,,,,,,"
East: 480
Central: 602
West: 623
",,,,,,,,,"3,629,114 (US: 12th)",,,,,,,,,,Phoenician, ,,"1,445,632","1,086 ft (331 m)","1,626,078",85001–85099,"44784, 2411414",Phoenix Sky Harbor International Airport,Deer Valley AirportPhoenix–Mesa Gateway Airport,,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Philadelphia, United States, Pennsylvania,,,,,,,"Mayor–council, consolidated city-county",Philadelphia City Council,Jim Kenney (D),,134.28 sq mi (347.78 km2),8.42 sq mi (21.81 km2),"6,096,120 (US: 8th)[5]",,,US city: 6th,"11,797.27/sq mi (4,554.95/km2)",,,,UTC-5 (EST),UTC-4 (EDT),,,42-60000,1215531[9],,"SEPTA Regional Rail, NJ Transit","Broad Street Line, Market–Frankford Line, PATCO Speedline",,,,,,www.phila.gov,Philadelphia,,,,,"October 25, 1701",,,,,,,,,,"215, 267, 445",,,,,William Penn,,,,,,,,,"7,206,807 (US: 8th)[6]",,,,39 ft (12 m),Philadelphian,  ,,,,,,,Philadelphia International Airport,,,,Kingdom of EnglandKingdom of Great Britain,Kingdom of Great Britain Province of Pennsylvania,"October 27, 1682","1,584,138","1,580,863","19092-19093, 19099, 191xx",  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,San Antonio, United States, Texas,,,,,,Saint Anthony of Padua,Council-Manager,San Antonio City Council,Ron Nirenberg (I),,"460.93[8] sq mi (1,193.7 km2)",4.5 sq mi (11.7 km2),"2,473,974 (24th)",,,,"3,241.76/sq mi (1,238.2/km2)",,,,UTC−6 (CST),UTC−5 (CDT),,,,,,,,,,,,,www.SanAntonio.gov,,,,,,"June 5, 1837[7]",,,,,,,,,,"210 (majority), 830 (portions), 726",,"Bexar, Medina, Comal",,,,,,"1,511,946[5] (7th)",,,,,,,,,,650 ft (198 m),San Antonian,   ,,,,,,,,,,,,,,,,,   ,"May 1, 1718[6]",Erik Walsh,"
List
• Robert C. Treviño• William ""Cruz"" Shaw• Rebecca Viagran• Rey Saldaña• Shirley Gonzales• Greg Brockhouse• Ana Sandoval• Manny Pelaez• John Courage• Clayton Perry
","78201-66, 78268-70, 78275, 78278-80, 78283-89, 78291-99",San Antonio International AirportSAT (Major/International),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,San Diego, United States, California,,,,,,Saint Didacus of Alcalá,Strong mayor[2],San Diego City Council,Kevin Faulconer (R)[3],"1,307,402",325.19 sq mi (842.25 km2),47.20 sq mi (122.24 km2)  12.68%,"3,317,749 (17th)",,,2nd in California8th in the United States,"4,325.50/sq mi (1,670.08/km2)",,,San Diegan,UTC−8 (Pacific),UTC−7 (PDT),,,06-66000,,,,   ,,,,,,SanDiego.gov, San Diego,,,,,"March 27, 1850[1]",Mara Elliott[4],,,,,,,,,"619, 858","1661377, 2411782",,,,,,,,"2,956,746 (15th)",,,,,,,,,,,"     
Former Routes



Planned Routes

",,,,,,,,Tijuana International Airport  Palomar Airport,,         ,,,,,,," 
Former Routes
  
",,,,,San Diego International Airport,"July 16, 1769","
List
• Barbara BryD-District 1• Jennifer CampbellD-District 2• Chris WardD-District 3• Monica MontgomeryD-District 4• Mark KerseyI-District 5• Chris CateR-District 6• Scott ShermanR-District 7• Vivian MorenoD-District 8• Georgette GomezD-District 9
","
List
• Brian MaienscheinD-77th District• Todd GloriaD-78th District• Shirley WeberD-79th District• Lorena Gonzalez FletcherD-80th District
","
List
• Brian JonesR-38th District• Toni AtkinsD-39th District• Ben HuesoD-40th District
",62 ft (19 m),"1,591 ft (485 m)",0 ft (0 m),"1,419,516","92101–92124, 92126–92132, 92134–92140, 92142, 92143, 92145, 92147, 92149–92155, 92158–92161, 92163, 92165–92179, 92182, 92186, 92187, 92190–92199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dallas, United States, Texas,,,,,,,Council–Manager,Dallas City Council,Mike Rawlings (D),,340.5 sq mi (881.9 km2),45.3 sq mi (117.4 km2),"7,233,323 (4th)",,,(US: 9th),"3,876/sq mi (1,497/km2)",,,,UTC−6 (Central),UTC−5 (Central),"
ZIP Codes[3]
75201-75212, 75214-75238, 75240-75254, 75258, 75260-75267, 75270, 75275, 75277, 75283-75287, 75301, 75303, 75310, 75312-75313, 75315, 75320, 75323, 75326, 75334, 75336, 75339-75340, 75342-75344, 75354-75360, 75367-75368, 75370-75374, 75376, 75378-75382, 75387, 75389-75394
",,48-19000[6],1380944[7],,,,,,,,,dallascityhall.com,,,,,,"February 2, 1856",,,,,,,,,,"214, 469, 972, 682, 817[4][5]",,"Dallas, Collin, Denton, Rockwall, Kaufman",,,,,,"1,197,816","5,121,892 (6th)",,,,,"7,673,305 (7th)",,,,430 ft (131 m),Dallasite,    ,,,,,,,,,,,,,,,,,    ,,,,,,,,,,,,,,,"1,341,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,San Jose, United States, California,San Francisco Bay Area,,,,,Saint Joseph,Council–manager[2],San Jose City Council,Sam Liccardo[3] (D),,177.51 sq mi (459.75 km2),3.01 sq mi (7.80 km2)  1.91%,"1,998,463 (34th)",,,3rd in California[9]10th in the United States,"5,776.3/sq mi (2,230.24/km2)",,,San Josean(s)  Josefino/a(s),UTC−8 (Pacific Time Zone),UTC−7 (Pacific Daylight Time),,408/669,06-68000,,,"Caltrain, Altamont Corridor Express",,,,,,,www.sanjoseca.gov, Santa Clara,San Jose-San Francisco-Oakland,,,,"March 27, 1850[1]",,,,,,,,,,,"1654952, 2411790",,,,,,,"945,942","1,894,389 (29th)",,,,,"8,837,789 (5th)",,,,,,  ,,,,,"
List
95002
95008
95101
95103
95106
95108–95113
95115–95141
95148
95150–95161
95164, 95170
95172
95173
95190–9519
 95196[10]

",,,,,     ,,,,,"1,035,317",,,,,,,San Jose International Airport,,,,,,,,,,,,,San Jose-Sunnyvale-Santa Clara,"November 29, 1777",Pueblo de San José de Guadalupe,"
List
Kansen Chu (D)Ash Kalra (D)Evan Low (D)Mark Stone (D)
",82 ft (25 m),0 ft (0 m),VTA Light Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
